year,scenario,CI_level,warming
1755.0,Below 2°C,0.16,-0.134075376028611
1755.0,Below 2°C,0.5,-0.0161624896812511
1755.0,Below 2°C,0.84,0.0974353816606836
1755.0,Below 2°C,0.95,0.2078897069704063
1755.0,Below 2°C,1.0,0.3836251400064921
1755.0,Delayed Transition,0.0,-0.4490637037677213
1755.0,Delayed Transition,0.05,-0.207406723937204
1755.0,Delayed Transition,0.16,-0.134075376028611
1755.0,Delayed Transition,0.5,-0.0161624896812511
1755.0,Delayed Transition,0.84,0.0974353816606836
1755.0,Delayed Transition,0.95,0.2078897069704063
1755.0,Delayed Transition,1.0,0.3836251400064921
1755.0,Fragmented World,0.0,-0.4490637037677213
1755.0,Fragmented World,0.05,-0.207406723937204
1755.0,Fragmented World,0.16,-0.134075376028611
1755.0,Fragmented World,0.5,-0.0161624896812511
1755.0,Fragmented World,0.84,0.0974353816606836
1755.0,Fragmented World,0.95,0.2078897069704063
1755.0,Fragmented World,1.0,0.3836251400064921
1755.0,Nationally Determined Contributions (NDCs),0.0,-0.4490637037677213
1755.0,Nationally Determined Contributions (NDCs),0.05,-0.207406723937204
1755.0,Nationally Determined Contributions (NDCs),0.16,-0.134075376028611
1755.0,Nationally Determined Contributions (NDCs),0.5,-0.0161624896812511
1755.0,Nationally Determined Contributions (NDCs),0.84,0.0974353816606836
1755.0,Nationally Determined Contributions (NDCs),0.95,0.2078897069704063
1755.0,Nationally Determined Contributions (NDCs),1.0,0.3836251400064921
1755.0,Current Policies,0.0,-0.4490637037677213
1755.0,Current Policies,0.05,-0.207406723937204
1755.0,Current Policies,0.16,-0.134075376028611
1755.0,Current Policies,0.5,-0.0161624896812511
1755.0,Current Policies,0.84,0.0974353816606836
1755.0,Current Policies,0.95,0.2078897069704063
1755.0,Current Policies,1.0,0.3836251400064921
1756.0,Low Demand,0.0,-0.4025393402601535
1756.0,Low Demand,0.05,-0.2352223134764844
1756.0,Low Demand,0.16,-0.1580942346128606
1756.0,Low Demand,0.5,-0.0350433320919929
1756.0,Low Demand,0.84,0.0863923420717556
1756.0,Low Demand,0.95,0.1759246341015966
1756.0,Low Demand,1.0,0.437001567404413
1756.0,Net Zero 2050,0.0,-0.4025393402601535
1756.0,Net Zero 2050,0.05,-0.2352223134764844
1756.0,Net Zero 2050,0.16,-0.1580942346128606
1756.0,Net Zero 2050,0.5,-0.0350433320919929
1756.0,Net Zero 2050,0.84,0.0863923420717556
1756.0,Net Zero 2050,0.95,0.1759246341015966
1756.0,Net Zero 2050,1.0,0.437001567404413
1756.0,Below 2°C,0.0,-0.4025393402601535
